canonical_card_id,collector_number,canonical_name,listing_name,listing_url,edition_code,cardmarket_product_id,cardmarket_product_name,cardmarket_metacard_id,mapping_status,mapping_method,evidence,avg30,avg30_holo,price_snapshot_at
xy5-57,57,Chinchou,Chinchou,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Chinchou-PRC57,,273588,Chinchou [Wave Splash],340498,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='chinchou'; canonical_terms=['wave splash']; product_terms=['wave splash'].,0.13,0.71,2026-07-26T02:44:32+0200
xy5-58,58,Lanturn,Lanturn,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Lanturn-PRC58,,273589,Lanturn [Dive | Take Down],340499,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='lanturn'; canonical_terms=['dive', 'take down']; product_terms=['dive', 'take down'].",0.24,0.52,2026-07-26T02:44:32+0200
xy5-59,59,Electrike,Electrike,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Electrike-PRC59,,273590,Electrike [Charge | Bite],340534,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='electrike'; canonical_terms=['charge', 'bite']; product_terms=['charge', 'bite'].",0.13,0.43,2026-07-26T02:44:32+0200
xy5-60,60,Electrike,Electrike,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Electrike-PRC60,,273591,Electrike [Thunder Fang],340535,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='electrike'; canonical_terms=['thunder fang']; product_terms=['thunder fang'].,0.78,2.64,2026-07-26T02:44:32+0200
xy5-61,61,Manectric,Manectric,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Manectric-PRC61,,273592,Manectric [Lightning Turn | Electric Shock],340536,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='manectric'; canonical_terms=['lightning turn', 'electric shock']; product_terms=['lightning turn', 'electric shock'].",1.07,1.3,2026-07-26T02:44:32+0200
xy5-62,62,Tynamo,Tynamo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Tynamo-PRC62,,273593,Tynamo [Water Splash],337029,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='tynamo'; canonical_terms=['water splash']; product_terms=['water splash'].,0.14,0.47,2026-07-26T02:44:32+0200
xy5-63,63,Eelektrik,Eelektrik,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Eelektrik-PRC63,,273594,Eelektrik [Gnaw | Buzz Flip],340500,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='eelektrik'; canonical_terms=['gnaw', 'buzz flip']; product_terms=['gnaw', 'buzz flip'].",0.15,0.62,2026-07-26T02:44:32+0200
xy5-64,64,Eelektrik,Eelektrik,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Eelektrik-PRC64,,273595,Eelektrik [Thrash],340501,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='eelektrik'; canonical_terms=['thrash']; product_terms=['thrash'].,0.96,1.9,2026-07-26T02:44:32+0200
xy5-65,65,Eelektross,Eelektross,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Eelektross-PRC65,,273596,Eelektross [Energy Connect | Electricannon],340502,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='eelektross'; canonical_terms=['energy connect', 'electricannon']; product_terms=['energy connect', 'electricannon'].",1.61,2.39,2026-07-26T02:44:32+0200
xy5-66,66,Nidoran ♀,Nidoran ♀,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Nidoran-PRC66,,273597,Nidoran ♀ [Scratch | Bite],211458,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='nidoran'; canonical_terms=['scratch', 'bite']; product_terms=['scratch', 'bite'].",0.2,0.67,2026-07-26T02:44:32+0200
xy5-67,67,Nidorina,Nidorina,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Nidorina-PRC67,,273598,Nidorina [Scratch | Strength],340537,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='nidorina'; canonical_terms=['scratch', 'strength']; product_terms=['scratch', 'strength'].",0.34,1.26,2026-07-26T02:44:32+0200
xy5-68,68,Nidoqueen,Nidoqueen,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Nidoqueen-PRC68,,273599,Nidoqueen [Double Kick | Poison Fang],340538,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='nidoqueen'; canonical_terms=['double kick', 'poison fang']; product_terms=['double kick', 'poison fang'].",0.93,1.91,2026-07-26T02:44:32+0200
xy5-69,69,Nidoqueen,Nidoqueen,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Nidoqueen-PRC69,,273600,Nidoqueen [Poison Jab | Dynamite Punch],340539,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='nidoqueen'; canonical_terms=['poison jab', 'dynamite punch']; product_terms=['poison jab', 'dynamite punch'].",9.15,15.56,2026-07-26T02:44:32+0200
xy5-70,70,Tentacool,Tentacool,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Tentacool-PRC70,,273601,Tentacool [Lost in the Waves],340503,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='tentacool'; canonical_terms=['lost in the waves']; product_terms=['lost in the waves'].,0.13,0.53,2026-07-26T02:44:32+0200
xy5-71,71,Tentacool,Tentacool,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Tentacool-PRC71,,273602,Tentacool [Psyshot],340504,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='tentacool'; canonical_terms=['psyshot']; product_terms=['psyshot'].,4.62,11.25,2026-07-26T02:44:32+0200
xy5-72,72,Tentacruel,Tentacruel,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Tentacruel-PRC72,,273603,Tentacruel [Dancing Tentacles | Stick and Absorb],340505,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='tentacruel'; canonical_terms=['dancing tentacles', 'stick and absorb']; product_terms=['dancing tentacles', 'stick and absorb'].",0.67,1.06,2026-07-26T02:44:32+0200
xy5-73,73,Starmie,Starmie,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Starmie-PRC73,,273604,Starmie [Synchro Star],340506,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='starmie'; canonical_terms=['synchro star']; product_terms=['synchro star'].,0.42,1.2,2026-07-26T02:44:32+0200
xy5-74,74,Rhyhorn,Rhyhorn,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Rhyhorn-PRC74,,273605,Rhyhorn [Take Down],340163,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='rhyhorn'; canonical_terms=['take down']; product_terms=['take down'].,0.1,0.54,2026-07-26T02:44:32+0200
xy5-75,75,Rhydon,Rhydon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Rhydon-PRC75,,273606,Rhydon [Take Down | Horn Drill],337034,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='rhydon'; canonical_terms=['take down', 'horn drill']; product_terms=['take down', 'horn drill'].",0.12,0.74,2026-07-26T02:44:32+0200
xy5-76,76,Rhyperior,Rhyperior,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Rhyperior-PRC76,,273607,Rhyperior [Rock Shower | Stone Edge],340540,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='rhyperior'; canonical_terms=['rock shower', 'stone edge']; product_terms=['rock shower', 'stone edge'].",0.49,2.57,2026-07-26T02:44:32+0200
xy5-77,77,Rhyperior,Rhyperior,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Rhyperior-PRC77,,273608,Rhyperior [Rock Wall | Hammer Arm],340541,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='rhyperior'; canonical_terms=['rock wall', 'hammer arm']; product_terms=['rock wall', 'hammer arm'].",7.04,6.94,2026-07-26T02:44:32+0200
xy5-78,78,Nosepass,Nosepass,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Nosepass-PRC78,,273609,Nosepass [Stiffen | Ram],340542,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='nosepass'; canonical_terms=['stiffen', 'ram']; product_terms=['stiffen', 'ram'].",0.11,0.76,2026-07-26T02:44:32+0200
xy5-79,79,Meditite,Meditite,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Meditite-PRC79,,273610,Meditite [Smack],339742,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='meditite'; canonical_terms=['smack']; product_terms=['smack'].,0.1,0.52,2026-07-26T02:44:32+0200
xy5-80,80,Medicham,Medicham,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Medicham-PRC80,,273611,Medicham [Pure Power | Windmill Kick],340543,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='medicham'; canonical_terms=['pure power', 'windmill kick']; product_terms=['pure power', 'windmill kick'].",1.15,1.88,2026-07-26T02:44:32+0200
xy5-81,81,Medicham,Medicham,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Medicham-PRC81,,273612,Medicham [Calm Mind | Yoga Kick],339743,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='medicham'; canonical_terms=['calm mind', 'yoga kick']; product_terms=['calm mind', 'yoga kick'].",1,2.87,2026-07-26T02:44:32+0200
xy5-82,82,Trapinch,Trapinch,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Trapinch-PRC82,,273613,Trapinch [Gnaw | Mud-Slap],340544,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='trapinch'; canonical_terms=['gnaw', 'mud slap']; product_terms=['gnaw', 'mud slap'].",0.13,0.47,2026-07-26T02:44:32+0200
xy5-83,83,Solrock,Solrock,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Solrock-PRC83,,273614,Solrock [Solar Generator | Knock Away],340545,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='solrock'; canonical_terms=['solar generator', 'knock away']; product_terms=['solar generator', 'knock away'].",0.16,0.42,2026-07-26T02:44:32+0200
xy5-84,84,Groudon,Groudon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Groudon-PRC84,,273615,Groudon [Rock Smash | Break Ground],211476,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='groudon'; canonical_terms=['rock smash', 'break ground']; product_terms=['rock smash', 'break ground'].",1.4,3.9,2026-07-26T02:44:32+0200
xy5-85,85,Groudon-EX,Groudon EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Groudon-EX-PRC85,,273616,Groudon EX [Rip Claw | Massive Rend],211542,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='groudon ex'; canonical_terms=['rip claw', 'massive rend']; product_terms=['rip claw', 'massive rend'].",15.82,5.78,2026-07-26T02:44:32+0200
xy5-86,86,Primal Groudon-EX,Primal Groudon EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Primal-Groudon-EX-V1-PRC86,V1,273617,Primal Groudon EX [Gaia Volcano],211478,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='primal groudon ex'; canonical_terms=['gaia volcano']; product_terms=['gaia volcano'].,38.75,15.57,2026-07-26T02:44:32+0200
xy5-86,86,Primal Groudon-EX,Primal Groudon EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Primal-Groudon-EX-V2-PRC86,V2,363664,Primal Groudon EX [Gaia Volcano],211478,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='primal groudon ex'; canonical_terms=['gaia volcano']; product_terms=['gaia volcano'].,9.35,5.5,2026-07-26T02:44:32+0200
xy5-87,87,Hippopotas,Hippopotas,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Hippopotas-PRC87,,273618,Hippopotas [Tackle | Rolling Tackle],337131,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='hippopotas'; canonical_terms=['tackle', 'rolling tackle']; product_terms=['tackle', 'rolling tackle'].",0.31,1.58,2026-07-26T02:44:32+0200
xy5-88,88,Hippowdon,Hippowdon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Hippowdon-PRC88,,273619,Hippowdon [Resistance Desert | Double-Edge],340546,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='hippowdon'; canonical_terms=['resistance desert', 'double edge']; product_terms=['resistance desert', 'double edge'].",1.35,1.94,2026-07-26T02:44:32+0200
xy5-89,89,Drilbur,Drilbur,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Drilbur-PRC89,,273620,Drilbur [Fury Swipes],340547,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='drilbur'; canonical_terms=['fury swipes']; product_terms=['fury swipes'].,0.1,0.33,2026-07-26T02:44:32+0200
xy5-90,90,Diggersby,Diggersby,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Diggersby-PRC90,,273621,Diggersby [Ear Dig | Hammer In],340548,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='diggersby'; canonical_terms=['ear dig', 'hammer in']; product_terms=['ear dig', 'hammer in'].",0.58,0.86,2026-07-26T02:44:32+0200
xy5-91,91,Sharpedo-EX,Sharpedo EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Sharpedo-EX-PRC91,,273622,Sharpedo EX [Hunt | Jagged Fang],339748,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='sharpedo ex'; canonical_terms=['hunt', 'jagged fang']; product_terms=['hunt', 'jagged fang'].",4.85,2.55,2026-07-26T02:44:32+0200
xy5-92,92,Crawdaunt,Crawdaunt,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Crawdaunt-PRC92,,273623,Crawdaunt [Unruly Claw | Crabhammer],340507,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='crawdaunt'; canonical_terms=['unruly claw', 'crabhammer']; product_terms=['unruly claw', 'crabhammer'].",1.95,1.95,2026-07-26T02:44:32+0200
xy5-93,93,Aggron-EX,Aggron EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Aggron-EX-V1-PRC93,V1,273624,Aggron EX [Steel Headbutt | Raging Hammer],340549,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='aggron ex'; canonical_terms=['steel headbutt', 'raging hammer']; product_terms=['steel headbutt', 'raging hammer'].",8.05,3.58,2026-07-26T02:44:32+0200
xy5-94,94,M Aggron-EX,MAggron EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/MAggron-EX-PRC94,,273625,MAggron EX [Megaton Slam],340550,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='m aggron ex'; canonical_terms=['megaton slam']; product_terms=['megaton slam'].,18.64,5.33,2026-07-26T02:44:32+0200
xy5-95,95,Probopass,Probopass,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Probopass-PRC95,,273626,Probopass [Triple Smash | Reinforced Nose],340551,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='probopass'; canonical_terms=['triple smash', 'reinforced nose']; product_terms=['triple smash', 'reinforced nose'].",0.51,1.03,2026-07-26T02:44:32+0200
xy5-96,96,Excadrill,Excadrill,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Excadrill-PRC96,,273627,Excadrill [Drill Run | Straight Claw],340552,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='excadrill'; canonical_terms=['drill run', 'straight claw']; product_terms=['drill run', 'straight claw'].",0.48,1.67,2026-07-26T02:44:32+0200
xy5-97,97,Excadrill,Excadrill,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Excadrill-PRC97,,273628,Excadrill [Dredge | Mach Claw],340553,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='excadrill'; canonical_terms=['dredge', 'mach claw']; product_terms=['dredge', 'mach claw'].",3.48,3.75,2026-07-26T02:44:32+0200
xy5-98,98,Honedge,Honedge,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Honedge-PRC98,,273629,Honedge [Metal Sound | Primal Clash],340554,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='honedge'; canonical_terms=['metal sound']; product_terms=['metal sound'].,0.15,0.53,2026-07-26T02:44:32+0200
xy5-99,99,Doublade,Doublade,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Doublade-PRC99,,273630,Doublade [False Swipe | Slash],340555,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='doublade'; canonical_terms=['false swipe', 'slash']; product_terms=['false swipe', 'slash'].",0.2,0.49,2026-07-26T02:44:32+0200
xy5-100,100,Aegislash,Aegislash,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Aegislash-PRC100,,273631,Aegislash [Miracle Guard | Protect Charge],211492,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='aegislash'; canonical_terms=['miracle guard', 'protect charge']; product_terms=['miracle guard', 'protect charge'].",1.65,2.08,2026-07-26T02:44:32+0200
xy5-101,101,Mr. Mime,Mr. Mime,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Mr-Mime-PRC101,,273632,Mr. Mime [Trick | Lock Up],340508,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='mr mime'; canonical_terms=['trick', 'lock up']; product_terms=['trick', 'lock up'].",0.3,1.29,2026-07-26T02:44:32+0200
xy5-102,102,Marill,Marill,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Marill-PRC102,,273633,Marill [Tackle | Rollout],340509,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='marill'; canonical_terms=['tackle', 'rollout']; product_terms=['tackle', 'rollout'].",0.23,1.65,2026-07-26T02:44:32+0200
xy5-103,103,Azumarill,Azumarill,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Azumarill-PRC103,,273634,Azumarill [Bubble Beam | Superpower],340510,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='azumarill'; canonical_terms=['bubble beam', 'superpower']; product_terms=['bubble beam', 'superpower'].",0.95,1.55,2026-07-26T02:44:32+0200
xy5-104,104,Azumarill,Azumarill,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Azumarill-PRC104,,273635,Azumarill [Tail Rap | Dwindling Wave],340511,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='azumarill'; canonical_terms=['tail rap', 'dwindling wave']; product_terms=['tail rap', 'dwindling wave'].",10.42,9.97,2026-07-26T02:44:32+0200
xy5-105,105,Gardevoir-EX,Gardevoir EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Gardevoir-EX-PRC105,,273636,Gardevoir EX [Life Leap | Shining Wind],340190,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='gardevoir ex'; canonical_terms=['life leap', 'shining wind']; product_terms=['life leap', 'shining wind'].",8.72,2.74,2026-07-26T02:44:32+0200
xy5-106,106,M Gardevoir-EX,MGardevoir EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/MGardevoir-EX-PRC106,,273637,MGardevoir EX [Brilliant Arrow],340191,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='m gardevoir ex'; canonical_terms=['brilliant arrow']; product_terms=['brilliant arrow'].,23.78,3.81,2026-07-26T02:44:32+0200
xy5-107,107,Kingdra,Kingdra,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Kingdra-PRC107,,273638,Kingdra [Shred | Twister],340512,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='kingdra'; canonical_terms=['shred', 'twister']; product_terms=['shred', 'twister'].",1,2.09,2026-07-26T02:44:32+0200
xy5-108,108,Kingdra,Kingdra,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Kingdra-PRC108,,273639,Kingdra [Gather Strength | Dragon Blast],222513,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='kingdra'; canonical_terms=['gather strength', 'dragon blast']; product_terms=['gather strength', 'dragon blast'].",11.93,8.28,2026-07-26T02:44:32+0200
xy5-109,109,Vibrava,Vibrava,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Vibrava-PRC109,,273640,Vibrava [Sand Attack | Super Vibration],340556,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='vibrava'; canonical_terms=['sand attack', 'super vibration']; product_terms=['sand attack', 'super vibration'].",0.18,0.81,2026-07-26T02:44:32+0200
xy5-110,110,Flygon,Flygon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Flygon-PRC110,,273641,Flygon [Sand Flap | Sand Tomb],340557,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='flygon'; canonical_terms=['sand flap', 'sand tomb']; product_terms=['sand flap', 'sand tomb'].",2.63,4.41,2026-07-26T02:44:32+0200
xy5-111,111,Zigzagoon,Zigzagoon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Zigzagoon-PRC111,,273642,Zigzagoon [Sand Attack | Headbutt],340558,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='zigzagoon'; canonical_terms=['sand attack', 'headbutt']; product_terms=['sand attack', 'headbutt'].",0.1,0.87,2026-07-26T02:44:32+0200
xy5-112,112,Linoone,Linoone,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Linoone-PRC112,,273643,Linoone [Fury Swipes | Dash Attack],340559,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='linoone'; canonical_terms=['fury swipes', 'dash attack']; product_terms=['fury swipes', 'dash attack'].",0.26,0.53,2026-07-26T02:44:32+0200
xy5-113,113,Skitty,Skitty,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Skitty-PRC113,,273644,Skitty [Charm | Tail Smack],340513,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='skitty'; canonical_terms=['charm', 'tail smack']; product_terms=['charm', 'tail smack'].",0.55,1.06,2026-07-26T02:44:32+0200
